,종목코드,종목명,종류
502,A014990,인디에프,KOSPI
503,A015020,이스타코,KOSPI
504,A015230,대창단조,KOSPI
505,A015260,에이엔피,KOSPI
506,A015350,부산가스,KOSPI
507,A015360,예스코홀딩스,KOSPI
508,A015540,메디파트너생명공학,KOSPI
509,A015590,큐로,KOSPI
510,A015760,한국전력,KOSPI
511,A015860,일진홀딩스,KOSPI
512,A015890,태경산업,KOSPI
513,A016090,대현,KOSPI
514,A016360,삼성증권,KOSPI
515,A016380,동부제철,KOSPI
516,A016385,동부제철우,KOSPI
517,A016450,한세예스24홀딩스,KOSPI
518,A016580,환인제약,KOSPI
519,A016590,신대양제지,KOSPI
520,A016610,DB금융투자,KOSPI
521,A016710,대성홀딩스,KOSPI
522,A016740,두올,KOSPI
523,A016800,퍼시스,KOSPI
524,A016880,웅진,KOSPI
525,A017040,광명전기,KOSPI
526,A017180,명문제약,KOSPI
527,A017370,우신시스템,KOSPI
528,A017390,서울가스,KOSPI
529,A017550,수산중공업,KOSPI
530,A017670,SK텔레콤,KOSPI
531,A017800,현대엘리베이,KOSPI
532,A017810,풀무원,KOSPI
533,A017900,광전자,KOSPI
534,A017940,E1,KOSPI
535,A017960,한국카본,KOSPI
536,A018250,애경산업,KOSPI
537,A018260,삼성에스디에스,KOSPI
538,A018470,조일알미늄,KOSPI
539,A018500,동원금속,KOSPI
540,A018670,SK가스,KOSPI
541,A018880,한온시스템,KOSPI
542,A019170,신풍제약,KOSPI
543,A019175,신풍제약우,KOSPI
544,A019180,티에이치엔,KOSPI
545,A019440,세아특수강,KOSPI
546,A019490,하이트론,KOSPI
547,A019680,대교,KOSPI
548,A019685,대교우B,KOSPI
549,A020000,한섬,KOSPI
550,A020120,키다리스튜디오,KOSPI
551,A020150,일진머티리얼즈,KOSPI
552,A020560,아시아나항공,KOSPI
553,A020760,일진디스플,KOSPI
554,A021050,서원,KOSPI
555,A021240,웅진코웨이,KOSPI
556,A021820,세원정공,KOSPI
557,A023000,삼원강재,KOSPI
558,A023150,MH에탄올,KOSPI
559,A023350,한국종합기술,KOSPI
560,A023450,동남합성,KOSPI
561,A023530,롯데쇼핑,KOSPI
562,A023590,다우기술,KOSPI
563,A023800,인지컨트롤스,KOSPI
564,A023810,인팩,KOSPI
565,A023960,에쓰씨엔지니어링,KOSPI
566,A024070,WISCOM,KOSPI
567,A024090,디씨엠,KOSPI
568,A024110,기업은행,KOSPI
569,A024720,한국콜마홀딩스,KOSPI
570,A024890,대원화성,KOSPI
571,A024900,덕양산업,KOSPI
572,A025000,KPX케미칼,KOSPI
573,A025530,SJM홀딩스,KOSPI
574,A025540,한국단자,KOSPI
575,A025560,미래산업,KOSPI
576,A025620,제이준코스메틱,KOSPI
577,A025750,한솔홈데코,KOSPI
578,A025820,이구산업,KOSPI
579,A025860,남해화학,KOSPI
580,A025890,한국주강,KOSPI
581,A026890,디피씨,KOSPI
582,A026940,부국철강,KOSPI
583,A026960,동서,KOSPI
584,A027390,한화갤러리아타임월드,KOSPI
585,A027410,BGF,KOSPI
586,A027740,마니커,KOSPI
587,A027970,세하,KOSPI
588,A028050,삼성엔지니어링,KOSPI
589,A028100,동아지질,KOSPI
590,A028260,삼성물산,KOSPI
591,A02826K,삼성물산우B,KOSPI
592,A028670,팬오션,KOSPI
593,A029460,케이씨,KOSPI
594,A029530,신도리코,KOSPI
595,A029780,삼성카드,KOSPI
596,A030000,제일기획,KOSPI
597,A030200,KT,KOSPI
598,A030210,KTB투자증권,KOSPI
599,A030610,교보증권,KOSPI
600,A030720,동원수산,KOSPI
601,A030790,동양네트웍스,KOSPI
602,A031430,신세계인터내셔날,KOSPI
603,A031440,신세계푸드,KOSPI
